,YEAR,PLAYER,PLAYER HH,DIFF,REAL VALUE,SALARY,Games played,,
Shai Gilgeous-Alexander 2021-22,2021-22,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,"$12,249,666","$17,745,198","$5,495,532",56,U,OKC
Danny Granger 2008-09,2008-09,Danny Granger,Danny Granger,"$12,217,246","$14,547,051","$2,329,805",67,U,IND
Kawhi Leonard 2014-15,2014-15,Kawhi Leonard,Kawhi Leonard,"$12,197,449","$15,250,817","$3,053,368",71,U,SAS
Jaylen Brown 2019-20,2019-20,Jaylen Brown,Jaylen Brown,"$12,057,823","$18,592,652","$6,534,829",74,U,BOS
Khyri Thomas 2020-21,2020-21,Khyri Thomas,Khyri Thomas,"$12,045,259","$13,106,542","$1,061,283",5,U,HOU
Brandon Roy 2007-08,2007-08,Brandon Roy,Brandon Roy,"$12,034,494","$14,917,614","$2,883,120",74,U,POR
Desmond Bane 2021-22,2021-22,Desmond Bane,Desmond Bane,"$11,975,549","$14,008,709","$2,033,160",88,U,MEM
Kevin Martin 2007-08,2007-08,Kevin Martin,Kevin Martin,"$11,949,251","$13,757,372","$1,808,121",61,U,SAC
Anthony Davis 2015-16,2015-16,Anthony Davis,Anthony Davis,"$11,902,402","$18,973,132","$7,070,730",61,U,NOP
Donovan Mitchell 2017-18,2017-18,Donovan Mitchell,Donovan Mitchell,"$11,898,885","$14,520,165","$2,621,280",90,U,UTA
Collin Sexton 2020-21,2020-21,Collin Sexton,Collin Sexton,"$11,870,180","$16,862,060","$4,991,880",60,U,CLE
Kawhi Leonard 2018-19,2018-19,Kawhi Leonard,Kawhi Leonard,"$11,856,288","$34,970,354","$23,114,066",84,U,TOR
Anthony Davis 2017-18,2017-18,Anthony Davis,Anthony Davis,"$11,792,012","$35,567,518","$23,775,506",84,U,NOP
Miles Bridges 2021-22,2021-22,Miles Bridges,Miles Bridges,"$11,783,827","$17,205,320","$5,421,493",81,U,CHA
Jaylen Hoard 2021-22,2021-22,Jaylen Hoard,Jaylen Hoard,"$11,733,216","$11,925,076","$191,860",7,U,OKC
Kobe Bryant 2002-03,2002-03,Kobe Bryant,Kobe Bryant,"$11,722,520","$24,097,520","$12,375,000",94,U,LAL
Malcolm Brogdon 2018-19,2018-19,Malcolm Brogdon,Malcolm Brogdon,"$11,620,026","$13,164,977","$1,544,951",71,U,MIL
Dwyane Wade 2009-10,2009-10,Dwyane Wade,Dwyane Wade,"$11,612,455","$27,392,367","$15,779,912",82,U,MIA
Jordan Poole 2021-22,2021-22,Jordan Poole,Jordan Poole,"$11,590,523","$13,751,963","$2,161,440",98,U,GSW
Tim Duncan 1998-99,1998-99,Tim Duncan,Tim Duncan,"$11,558,666","$14,971,666","$3,413,000",67,U,SAS
Tyreke Evans 2017-18,2017-18,Tyreke Evans,Tyreke Evans,"$11,522,731","$14,812,731","$3,290,000",52,U,MEM
Fred VanVleet 2019-20,2019-20,Fred VanVleet,Fred VanVleet,"$11,493,884","$20,840,037","$9,346,153",65,U,TOR
Dwight Howard 2007-08,2007-08,Dwight Howard,Dwight Howard,"$11,482,883","$17,544,157","$6,061,274",92,U,ORL
Chris Bosh 2005-06,2005-06,Chris Bosh,Chris Bosh,"$11,444,102","$14,792,102","$3,348,000",70,U,TOR
Kyle Lowry 2016-17,2016-17,Kyle Lowry,Kyle Lowry,"$11,441,267","$23,441,267","$12,000,000",68,U,TOR
Carmelo Anthony 2005-06,2005-06,Carmelo Anthony,Carmelo Anthony,"$11,434,633","$15,148,273","$3,713,640",85,U,DEN
Russell Westbrook 2016-17,2016-17,Russell Westbrook,Russell Westbrook,"$11,423,867","$37,963,967","$26,540,100",86,U,OKC
John Wall 2016-17,2016-17,John Wall,John Wall,"$11,415,670","$27,172,108","$15,756,438",91,U,WAS
Klay Thompson 2014-15,2014-15,Klay Thompson,Klay Thompson,"$11,403,073","$14,478,953","$3,075,880",98,U,GSW
Blake Griffin 2011-12,2011-12,Blake Griffin,Blake Griffin,"$11,393,663","$17,124,743","$5,731,080",77,U,LAC
Chris Paul 2006-07,2006-07,Chris Paul,Chris Paul,"$11,264,977","$14,645,137","$3,380,160",64,U,NOP
Isaiah Thomas 2013-14,2013-14,Isaiah Thomas,Isaiah Thomas,"$11,225,977","$12,110,270","$884,293",72,U,SAC
Stephen Curry 2013-14,2013-14,Stephen Curry,Stephen Curry,"$11,182,371","$21,070,013","$9,887,642",85,U,GSW
Gilbert Arenas 2005-06,2005-06,Gilbert Arenas,Gilbert Arenas,"$11,153,813","$21,397,013","$10,243,200",86,U,WAS
Kobe Bryant 2005-06,2005-06,Kobe Bryant,Kobe Bryant,"$11,145,672","$27,092,547","$15,946,875",87,U,LAL
Devin Booker 2017-18,2017-18,Devin Booker,Devin Booker,"$11,131,150","$13,450,510","$2,319,360",54,U,PHX
Kemba Walker 2018-19,2018-19,Kemba Walker,Kemba Walker,"$11,093,005","$23,093,005","$12,000,000",82,U,CHA
Dwyane Wade 2010-11,2010-11,Dwyane Wade,Dwyane Wade,"$11,001,385","$25,201,385","$14,200,000",97,U,MIA
Kristaps Porzingis 2017-18,2017-18,Kristaps Porzingis,Kristaps Porzingis,"$10,931,503","$15,435,103","$4,503,600",48,U,NYK
Steve Francis 2000-01,2000-01,Steve Francis,Steve Francis,"$10,887,962","$14,134,922","$3,246,960",80,U,HOU
Lou Williams 2017-18,2017-18,Lou Williams,Louis Williams,"$10,818,388","$17,818,388","$7,000,000",79,U,LAC
Dirk Nowitzki 2002-03,2002-03,Dirk Nowitzki,Dirk Nowitzki,"$10,816,306","$20,884,056","$10,067,750",97,U,DAL
Andre Miller 2001-02,2001-02,Andre Miller,Andre Miller,"$10,779,015","$12,713,535","$1,934,520",81,U,CLE
Kobe Bryant 2000-01,2000-01,Kobe Bryant,Kobe Bryant,"$10,741,035","$20,871,035","$10,130,000",84,U,LAL
Brandon Ingram 2019-20,2019-20,Brandon Ingram,Brandon Ingram,"$10,740,124","$18,005,609","$7,265,485",62,U,NOP
Andre Iguodala 2007-08,2007-08,Andre Iguodala,Andre Iguodala,"$10,739,544","$13,544,433","$2,804,889",88,U,PHI
Damian Lillard 2013-14,2013-14,Damian Lillard,Damian Lillard,"$10,738,871","$13,941,791","$3,202,920",93,U,POR
Peja Stojakovic 2003-04,2003-04,Peja Stojakovic,Predrag Stojakovic,"$10,720,142","$16,970,142","$6,250,000",93,U,SAC
Paul Pierce 2000-01,2000-01,Paul Pierce,Paul Pierce,"$10,716,462","$12,325,302","$1,608,840",82,U,BOS
Tyler Herro 2021-22,2021-22,Tyler Herro,Tyler Herro,"$10,670,461","$14,674,741","$4,004,280",81,U,MIA
Chris Paul 2005-06,2005-06,Chris Paul,Chris Paul,"$10,634,635","$13,778,875","$3,144,240",78,U,NOP
Steve Francis 2002-03,2002-03,Steve Francis,Steve Francis,"$10,634,610","$15,018,191","$4,383,581",81,U,HOU
Kyrie Irving 2014-15,2014-15,Kyrie Irving,Kyrie Irving,"$10,619,707","$18,079,631","$7,459,924",88,U,CLE
Michael Jordan 2002-03,2002-03,Michael Jordan,Michael Jordan,"$10,573,698","$11,603,698","$1,030,000",82,U,WAS
Gary Harris 2017-18,2017-18,Gary Harris,Gary Harris,"$10,467,669","$13,017,724","$2,550,055",67,U,DEN
Russell Westbrook 2014-15,2014-15,Russell Westbrook,Russell Westbrook,"$10,455,907","$26,174,969","$15,719,062",67,U,OKC
Charles Barkley 1998-99,1998-99,Charles Barkley,Charles Barkley,"$10,417,398","$11,417,398","$1,000,000",46,U,HOU
Luol Deng 2006-07,2006-07,Luol Deng,Luol Deng,"$10,415,813","$13,030,253","$2,614,440",92,U,CHI
Michael Jordan 2001-02,2001-02,Michael Jordan,Michael Jordan,"$10,374,691","$11,374,691","$1,000,000",60,U,WAS
Allen Iverson 2000-01,2000-01,Allen Iverson,Allen Iverson,"$10,364,584","$20,494,584","$10,130,000",93,U,PHI
Eric Bledsoe 2013-14,2013-14,Eric Bledsoe,Eric Bledsoe,"$10,355,412","$12,981,885","$2,626,473",43,U,PHX
Andrei Kirilenko 2004-05,2004-05,Andrei Kirilenko,Andrei Kirilenko,"$10,339,410","$12,011,104","$1,671,694",41,U,UTA
Brandon Jennings 2011-12,2011-12,Brandon Jennings,Brandon Jennings,"$10,328,530","$12,822,250","$2,493,720",66,U,MIL
Blake Griffin 2010-11,2010-11,Blake Griffin,Blake Griffin,"$10,302,383","$15,659,663","$5,357,280",82,U,LAC
LeBron James 2015-16,2015-16,LeBron James,LeBron James,"$10,284,490","$33,254,990","$22,970,500",97,U,CLE
Tyrese Haliburton 2021-22,2021-22,Tyrese Haliburton,Tyrese Haliburton,"$10,267,562","$14,291,162","$4,023,600",77,U,"IND, SAC"
Giannis Antetokounmpo 2015-16,2015-16,Giannis Antetokounmpo,Giannis Antetokounmpo,"$10,243,952","$12,197,912","$1,953,960",80,U,MIL
Kevin Love 2010-11,2010-11,Kevin Love,Kevin Love,"$10,233,940","$13,872,220","$3,638,280",73,U,MIN
Cameron Payne 2019-20,2019-20,Cameron Payne,Cameron Payne,"$10,193,998","$10,390,286","$196,288",8,U,PHX
John Collins 2020-21,2020-21,John Collins,John Collins,"$10,179,977","$14,317,279","$4,137,302",81,U,ATL
Paul George 2012-13,2012-13,Paul George,Paul George,"$10,112,017","$12,686,137","$2,574,120",98,U,IND
Zach Randolph 2003-04,2003-04,Zach Randolph,Zach Randolph,"$10,109,016","$11,281,176","$1,172,160",81,U,POR
Tim Duncan 1999-00,1999-00,Tim Duncan,Tim Duncan,"$10,098,369","$13,956,609","$3,858,240",74,U,SAS
Richard Jefferson 2003-04,2003-04,Richard Jefferson,Richard Jefferson,"$10,077,872","$11,664,152","$1,586,280",93,U,BKN
Domantas Sabonis 2018-19,2018-19,Domantas Sabonis,Domantas Sabonis,"$10,054,848","$12,714,648","$2,659,800",78,U,IND
Luka Doncic 2018-19,2018-19,Luka Doncic,Luka Doncic,"$10,043,037","$16,612,077","$6,569,040",72,U,DAL
Chandler Parsons 2013-14,2013-14,Chandler Parsons,Chandler Parsons,"$10,040,986","$10,967,486","$926,500",80,U,HOU
Giannis Antetokounmpo 2017-18,2017-18,Giannis Antetokounmpo,Giannis Antetokounmpo,"$10,037,703","$32,509,614","$22,471,911",82,U,MIL
James Harden 2016-17,2016-17,James Harden,James Harden,"$10,023,406","$36,563,506","$26,540,100",92,U,HOU
James Harden 2015-16,2015-16,James Harden,James Harden,"$9,989,519","$25,708,581","$15,719,062",87,U,HOU
Ty Lawson 2012-13,2012-13,Ty Lawson,Ty Lawson,"$9,963,953","$12,508,481","$2,544,528",79,U,DEN
Jimmy Butler 2016-17,2016-17,Jimmy Butler,Jimmy Butler,"$9,939,299","$27,491,508","$17,552,209",82,U,CHI
CJ McCollum 2015-16,2015-16,CJ McCollum,CJ McCollum,"$9,917,307","$12,442,467","$2,525,160",91,U,POR
DeMarcus Cousins 2013-14,2013-14,DeMarcus Cousins,DeMarcus Cousins,"$9,913,671","$14,830,644","$4,916,973",71,U,SAC
LeBron James 2017-18,2017-18,LeBron James,LeBron James,"$9,872,729","$43,158,438","$33,285,709",104,U,CLE
Andre Iguodala 2006-07,2006-07,Andre Iguodala,Andre Iguodala,"$9,839,785","$12,041,425","$2,201,640",76,U,PHI
