,YEAR,PLAYER,PLAYER HH,DIFF,REAL VALUE,SALARY,Games played,,
Avery Johnson 2003-04,2003-04,Avery Johnson,Avery Johnson,"-$4,136,076","$1,309,524","$5,445,600",46,O,GSW
Tyus Jones 2019-20,2019-20,Tyus Jones,Tyus Jones,"-$4,140,566","$5,975,434","$10,116,000",65,O,MEM
Larry Johnson 1969 1997-98,1997-98,Larry Johnson 1969,Larry Johnson,"-$4,140,682","$4,320,032","$8,460,714",78,O,
Markelle Fultz 2018-19,2018-19,Markelle Fultz,Markelle Fultz,"-$4,140,795","$4,199,085","$8,339,880",19,O,PHI
Chandler Hutchison 2021-22,2021-22,Chandler Hutchison,Chandler Hutchison,"-$4,142,566","$81,620","$4,224,186",6,O,PHX
Ron Mercer 2001-02,2001-02,Ron Mercer,Ron Mercer,"-$4,145,916","$2,604,084","$6,750,000",58,O,"CHI, IND"
Jason Caffey 2004-05,2004-05,Jason Caffey,,"-$4,148,148",$0,"$4,148,148",0,O,
John Williams 1995-96,1995-96,John Williams,,"-$4,151,000",$0,"$4,151,000",0,O,
John Williams 1996-97,1996-97,John Williams,,"-$4,151,000",$0,"$4,151,000",0,O,
Desmond Mason 2006-07,2006-07,Desmond Mason,Desmond Mason,"-$4,151,868","$3,885,169","$8,037,037",75,O,NOP
Jim McIlvaine 1999-00,1999-00,Jim McIlvaine,Jim McIlvaine,"-$4,159,132","$640,868","$4,800,000",66,O,BKN
Sean Elliott 1999-00,1999-00,Sean Elliott,Sean Elliott,"-$4,162,427","$1,270,906","$5,433,333",23,O,SAS
Jonathan Bender 2003-04,2003-04,Jonathan Bender,Jonathan Bender,"-$4,163,290","$1,636,710","$5,800,000",37,O,IND
Anthony Mason 1998-99,1998-99,Anthony Mason,,"-$4,165,000",$0,"$4,165,000",0,O,
Delon Wright 2021-22,2021-22,Delon Wright,Delon Wright,"-$4,165,407","$4,360,909","$8,526,316",84,O,ATL
Richard Jefferson 2008-09,2008-09,Richard Jefferson,Richard Jefferson,"-$4,165,749","$9,034,251","$13,200,000",82,O,MIL
Nikola Mirotic 2018-19,2018-19,Nikola Mirotic,Nikola Mirotic,"-$4,175,913","$8,324,087","$12,500,000",60,O,"MIL, NOP"
Luke Walton 2009-10,2009-10,Luke Walton,Luke Walton,"-$4,181,024","$658,976","$4,840,000",45,O,LAL
Jared Jeffries 2009-10,2009-10,Jared Jeffries,Jared Jeffries,"-$4,181,708","$2,284,892","$6,466,600",70,O,"HOU, NYK"
Dikembe Mutombo 1997-98,1997-98,Dikembe Mutombo,Dikembe Mutombo,"-$4,182,256","$5,432,931","$9,615,187",86,O,ATL
Caron Butler 2012-13,2012-13,Caron Butler,Caron Butler,"-$4,183,143","$3,816,857","$8,000,000",84,O,LAC
Marcus Smart 2018-19,2018-19,Marcus Smart,Marcus Smart,"-$4,193,723","$6,966,993","$11,160,716",82,O,BOS
Troy Hudson 2006-07,2006-07,Troy Hudson,Troy Hudson,"-$4,196,611","$1,406,389","$5,603,000",34,O,MIN
Danny Fortson 2003-04,2003-04,Danny Fortson,Danny Fortson,"-$4,197,633","$1,230,969","$5,428,602",56,O,DAL
Erick Dampier 2000-01,2000-01,Erick Dampier,Erick Dampier,"-$4,200,210","$1,409,790","$5,610,000",43,O,GSW
Jason Richardson 2014-15,2014-15,Jason Richardson,Jason Richardson,"-$4,201,724","$2,399,401","$6,601,125",19,O,PHI
Richard Hamilton 2009-10,2009-10,Richard Hamilton,Richard Hamilton,"-$4,202,212","$7,422,788","$11,625,000",46,O,DET
Andray Blatche 2011-12,2011-12,Andray Blatche,Andray Blatche,"-$4,204,329","$2,237,754","$6,442,083",26,O,WAS
Troy Murphy 2006-07,2006-07,Troy Murphy,Troy Murphy,"-$4,206,123","$4,079,591","$8,285,714",68,O,"GSW, IND"
Damon Jones 2008-09,2008-09,Damon Jones,Damon Jones,"-$4,207,449","$252,737","$4,460,186",18,O,MIL
Quentin Richardson 2013-14,2013-14,Quentin Richardson,,"-$4,208,107",$0,"$4,208,107",0,O,
Calvin Booth 2002-03,2002-03,Calvin Booth,Calvin Booth,"-$4,209,314","$783,586","$4,992,900",47,O,OKC
Jason Terry 2013-14,2013-14,Jason Terry,Jason Terry,"-$4,210,521","$1,014,479","$5,225,000",35,O,BKN
Michael Stewart 2004-05,2004-05,Michael Stewart,Michael Stewart,"-$4,210,928","$589,072","$4,800,000",12,O,ATL
Derek Strong 2002-03,2002-03,Derek Strong,,"-$4,212,000",$0,"$4,212,000",0,O,
Chris Mihm 2006-07,2006-07,Chris Mihm,,"-$4,214,241",$0,"$4,214,241",0,O,
Kawhi Leonard 2017-18,2017-18,Kawhi Leonard,Kawhi Leonard,"-$4,215,925","$14,652,700","$18,868,625",9,O,SAS
Morris Peterson 2009-10,2009-10,Morris Peterson,Morris Peterson,"-$4,216,570","$1,996,390","$6,212,960",46,O,NOP
Toni Kukoc 2001-02,2001-02,Toni Kukoc,Toni Kukoc,"-$4,220,791","$3,685,992","$7,906,783",59,O,ATL
Reggie Miller 2001-02,2001-02,Reggie Miller,Reggie Miller,"-$4,222,834","$7,822,241","$12,045,075",84,O,IND
Horace Grant 1998-99,1998-99,Horace Grant,Horace Grant,"-$4,227,787","$3,615,213","$7,843,000",54,O,ORL
Jodie Meeks 2015-16,2015-16,Jodie Meeks,Jodie Meeks,"-$4,237,434","$2,032,566","$6,270,000",4,O,DET
Lionel Simmons 1998-99,1998-99,Lionel Simmons,,"-$4,238,500",$0,"$4,238,500",0,O,
Kyle Anderson 2021-22,2021-22,Kyle Anderson,Kyle Anderson,"-$4,239,037","$5,698,113","$9,937,150",81,O,MEM
Devin Booker 2021-22,2021-22,Devin Booker,Devin Booker,"-$4,240,271","$27,410,329","$31,650,600",78,O,PHX
Kyle Singler 2016-17,2016-17,Kyle Singler,Kyle Singler,"-$4,241,452","$596,048","$4,837,500",33,O,OKC
Alvin Williams 2006-07,2006-07,Alvin Williams,Alvin Williams,"-$4,243,291","$344,217","$4,587,508",2,O,LAC
Aron Baynes 2016-17,2016-17,Aron Baynes,Aron Baynes,"-$4,243,699","$2,256,301","$6,500,000",75,O,DET
Marquis Daniels 2006-07,2006-07,Marquis Daniels,Marquis Daniels,"-$4,246,935","$1,636,665","$5,883,600",45,O,IND
Jermaine O'Neal 1999-00,1999-00,Jermaine O'Neal,Jermaine O'Neal,"-$4,249,798","$825,202","$5,075,000",78,O,POR
Joel Przybilla 2009-10,2009-10,Joel Przybilla,Joel Przybilla,"-$4,249,817","$2,607,908","$6,857,725",30,O,POR
Antoine Walker 2002-03,2002-03,Antoine Walker,Antoine Walker,"-$4,254,557","$8,120,443","$12,375,000",88,O,BOS
Danny Fortson 2002-03,2002-03,Danny Fortson,Danny Fortson,"-$4,260,151","$778,917","$5,039,068",17,O,GSW
Emeka Okafor 2009-10,2009-10,Emeka Okafor,Emeka Okafor,"-$4,262,664","$6,276,273","$10,538,937",82,O,NOP
Trevor Booker 2016-17,2016-17,Trevor Booker,Trevor Booker,"-$4,264,087","$4,985,913","$9,250,000",71,O,BKN
Mookie Blaylock 2001-02,2001-02,Mookie Blaylock,Mookie Blaylock,"-$4,265,331","$1,134,669","$5,400,000",35,O,GSW
D.J. Augustin 2016-17,2016-17,D.J. Augustin,DJ Augustin,"-$4,266,039","$2,983,961","$7,250,000",78,O,ORL
Jordan Hill 2014-15,2014-15,Jordan Hill,Jordan Hill,"-$4,266,689","$4,733,311","$9,000,000",70,O,LAL
Hedo Turkoglu 2010-11,2010-11,Hedo Turkoglu,Hidayet Turkoglu,"-$4,270,456","$5,945,394","$10,215,850",87,O,"ORL, PHX"
Richard Jefferson 2017-18,2017-18,Richard Jefferson,Richard Jefferson,"-$4,270,740","$557,912","$4,828,652",20,O,DEN
Eric Snow 2006-07,2006-07,Eric Snow,Eric Snow,"-$4,271,147","$1,822,603","$6,093,750",101,O,CLE
Rony Seikaly 1998-99,1998-99,Rony Seikaly,Rony Seikaly,"-$4,271,897","-$19,897","$4,252,000",9,O,BKN
Carmelo Anthony 2011-12,2011-12,Carmelo Anthony,Carmelo Anthony,"-$4,274,816","$14,243,758","$18,518,574",60,O,NYK
Jeremy Lamb 2020-21,2020-21,Jeremy Lamb,Jeremy Lamb,"-$4,275,890","$6,224,110","$10,500,000",36,O,IND
Anthony Bennett 2015-16,2015-16,Anthony Bennett,Anthony Bennett,"-$4,277,893","$319,383","$4,597,276",19,O,TOR
Cedi Osman 2020-21,2020-21,Cedi Osman,Cedi Osman,"-$4,279,309","$4,561,271","$8,840,580",59,O,CLE
Kyrie Irving 2019-20,2019-20,Kyrie Irving,Kyrie Irving,"-$4,281,440","$27,460,560","$31,742,000",20,O,BKN
John Williams 1993-94,1993-94,John Williams,John Williams,"-$4,291,587","$594,413","$4,886,000",34,O,LAC
Derrick Coleman 2002-03,2002-03,Derrick Coleman,Derrick Coleman,"-$4,294,395","$5,085,605","$9,380,000",76,O,PHI
Derrick Williams 2014-15,2014-15,Derrick Williams,Derrick Williams,"-$4,299,327","$2,380,539","$6,679,866",74,O,SAC
Keith Van Horn 2007-08,2007-08,Keith Van Horn,,"-$4,300,000",$0,"$4,300,000",0,O,
Luc Longley 1999-00,1999-00,Luc Longley,Luc Longley,"-$4,304,151","$870,849","$5,175,000",81,O,PHX
Anthony Bennett 2014-15,2014-15,Anthony Bennett,Anthony Bennett,"-$4,309,327","$1,254,593","$5,563,920",57,O,MIN
Markieff Morris 2015-16,2015-16,Markieff Morris,Markieff Morris,"-$4,312,952","$3,687,048","$8,000,000",64,O,"PHX, WAS"
De'Anthony Melton 2020-21,2020-21,De'Anthony Melton,De'Anthony Melton,"-$4,313,852","$5,257,860","$9,571,712",59,O,MEM
Luke Walton 2012-13,2012-13,Luke Walton,Luke Walton,"-$4,314,901","$1,776,462","$6,091,363",50,O,CLE
Andre Iguodala 2012-13,2012-13,Andre Iguodala,Andre Iguodala,"-$4,318,311","$10,399,939","$14,718,250",86,O,DEN
Fred VanVleet 2020-21,2020-21,Fred VanVleet,Fred VanVleet,"-$4,319,958","$16,930,042","$21,250,000",52,O,TOR
Doug McDermott 2018-19,2018-19,Doug McDermott,Doug McDermott,"-$4,321,541","$3,011,793","$7,333,334",80,O,IND
Harvey Grant 1997-98,1997-98,Harvey Grant,Harvey Grant,"-$4,321,880","$349,995","$4,671,875",65,O,WAS
Lance Thomas 2016-17,2016-17,Lance Thomas,Lance Thomas,"-$4,331,941","$1,859,059","$6,191,000",46,O,NYK
Thaddeus Young 2016-17,2016-17,Thaddeus Young,Thaddeus Young,"-$4,332,000","$7,746,652","$12,078,652",78,O,IND
Nene 2011-12,2011-12,Nene,Nen�,"-$4,332,039","$8,667,961","$13,000,000",39,O,"DEN, WAS"
Danny Ferry 2002-03,2002-03,Danny Ferry,Danny Ferry,"-$4,332,206","$213,794","$4,546,000",81,O,SAS
Rik Smits 1998-99,1998-99,Rik Smits,Rik Smits,"-$4,334,314","$4,165,686","$8,500,000",62,O,IND
Tayshaun Prince 2010-11,2010-11,Tayshaun Prince,Tayshaun Prince,"-$4,335,972","$6,812,788","$11,148,760",78,O,DET
Kobe Bryant 2011-12,2011-12,Kobe Bryant,Kobe Bryant,"-$4,340,070","$20,904,423","$25,244,493",70,O,LAL
Julius Randle 2019-20,2019-20,Julius Randle,Julius Randle,"-$4,343,357","$13,656,643","$18,000,000",64,O,NYK
Clyde Drexler 1995-96,1995-96,Clyde Drexler,Clyde Drexler,"-$4,346,880","$5,463,120","$9,810,000",60,O,HOU
Anthony Mason 2003-04,2003-04,Anthony Mason,,"-$4,348,094",$0,"$4,348,094",0,O,
Jorge Garbajosa 2008-09,2008-09,Jorge Garbajosa,,"-$4,350,000",$0,"$4,350,000",0,O,
Serge Ibaka 2014-15,2014-15,Serge Ibaka,Serge Ibaka,"-$4,351,521","$7,898,479","$12,250,000",64,O,OKC
Steve Smith 2001-02,2001-02,Steve Smith,Steve Smith,"-$4,351,804","$4,648,196","$9,000,000",87,O,SAS
Damon Stoudamire 2000-01,2000-01,Damon Stoudamire,Damon Stoudamire,"-$4,353,054","$6,896,946","$11,250,000",85,O,POR
Leandro Barbosa 2011-12,2011-12,Leandro Barbosa,Leandro Barbosa,"-$4,356,997","$3,243,003","$7,600,000",75,O,"IND, TOR"
Jabari Parker 2020-21,2020-21,Jabari Parker,Jabari Parker,"-$4,365,451","$2,565,278","$6,930,729",17,O,"BOS, SAC"
Damon Stoudamire 1998-99,1998-99,Damon Stoudamire,Damon Stoudamire,"-$4,370,838","$4,629,162","$9,000,000",63,O,POR
Matt Carroll 2009-10,2009-10,Matt Carroll,Matt Carroll,"-$4,370,845","$329,155","$4,700,000",26,O,DAL
Khris Middleton 2016-17,2016-17,Khris Middleton,Khris Middleton,"-$4,373,892","$10,826,108","$15,200,000",35,O,MIL
Vlade Divac 1999-00,1999-00,Vlade Divac,Vlade Divac,"-$4,381,140","$4,456,634","$8,837,774",87,O,SAC
Joe Dumars 1995-96,1995-96,Joe Dumars,Joe Dumars,"-$4,383,807","$2,497,193","$6,881,000",70,O,DET
Kyle Singler 2017-18,2017-18,Kyle Singler,Kyle Singler,"-$4,389,829","$276,671","$4,666,500",12,O,OKC
Ervin Johnson 2004-05,2004-05,Ervin Johnson,Ervin Johnson,"-$4,391,762","$445,871","$4,837,633",46,O,MIN
Damon Stoudamire 2003-04,2003-04,Damon Stoudamire,Damon Stoudamire,"-$4,392,144","$7,982,856","$12,375,000",82,O,POR
Darko Milicic 2007-08,2007-08,Darko Milicic,Darko Milicic,"-$4,395,839","$2,104,161","$6,500,000",70,O,MEM
Marc Gasol 2016-17,2016-17,Marc Gasol,Marc Gasol,"-$4,397,604","$16,768,071","$21,165,675",80,O,MEM
Jim McIlvaine 2002-03,2002-03,Jim McIlvaine,,"-$4,400,000",$0,"$4,400,000",0,O,
Travis Knight 2003-04,2003-04,Travis Knight,,"-$4,402,500",$0,"$4,402,500",0,O,
Vlade Divac 2004-05,2004-05,Vlade Divac,Vlade Divac,"-$4,403,292","$499,708","$4,903,000",15,O,LAL
Taj Gibson 2017-18,2017-18,Taj Gibson,Taj Gibson,"-$4,403,959","$9,596,041","$14,000,000",87,O,MIN
Gilbert Arenas 2009-10,2009-10,Gilbert Arenas,Gilbert Arenas,"-$4,404,337","$11,787,743","$16,192,080",32,O,WAS
Shaun Livingston 2007-08,2007-08,Shaun Livingston,,"-$4,404,629",$0,"$4,404,629",0,O,
Brian Shaw 1998-99,1998-99,Brian Shaw,Brian Shaw,"-$4,405,548","-$155,548","$4,250,000",1,O,POR
Michael Stewart 2003-04,2003-04,Michael Stewart,Michael Stewart,"-$4,407,543","$72,457","$4,480,000",26,O,"BOS, CLE"
Desmond Mason 2005-06,2005-06,Desmond Mason,Desmond Mason,"-$4,415,167","$2,918,166","$7,333,333",70,O,NOP
Beno Udrih 2012-13,2012-13,Beno Udrih,Beno Udrih,"-$4,418,441","$3,391,559","$7,810,000",66,O,"MIL, ORL"
Bo Outlaw 2002-03,2002-03,Bo Outlaw,Bo Outlaw,"-$4,418,730","$2,166,270","$6,585,000",86,O,PHX
Morris Peterson 2008-09,2008-09,Morris Peterson,Morris Peterson,"-$4,420,697","$1,171,543","$5,592,240",45,O,NOP
T.J. Ford 2009-10,2009-10,T.J. Ford,TJ Ford,"-$4,422,720","$4,077,280","$8,500,000",47,O,IND
Mikki Moore 2008-09,2008-09,Mikki Moore,Mikki Moore,"-$4,425,002","$1,207,198","$5,632,200",80,O,"BOS, SAC"
Marcus Banks 2010-11,2010-11,Marcus Banks,Marcus Banks,"-$4,426,148","$421,438","$4,847,586",3,O,TOR
Rasheed Wallace 1998-99,1998-99,Rasheed Wallace,Rasheed Wallace,"-$4,427,090","$4,572,910","$9,000,000",62,O,POR
Joel Embiid 2014-15,2014-15,Joel Embiid,,"-$4,427,640",$0,"$4,427,640",0,O,
Jason Collins 2005-06,2005-06,Jason Collins,Jason Collins,"-$4,435,699","$1,064,301","$5,500,000",82,O,BKN
Luke Ridnour 2007-08,2007-08,Luke Ridnour,Luke Ridnour,"-$4,442,254","$2,057,746","$6,500,000",61,O,OKC
Michael Beasley 2013-14,2013-14,Michael Beasley,Michael Beasley,"-$4,448,061","$2,579,363","$7,027,424",59,O,MIA
Bo Outlaw 2003-04,2003-04,Bo Outlaw,Bo Outlaw,"-$4,448,385","$2,136,615","$6,585,000",86,O,MEM
Rajon Rondo 2021-22,2021-22,Rajon Rondo,Rajon Rondo,"-$4,450,672","$3,049,328","$7,500,000",41,O,"CLE, LAL"
Antonio McDyess 2009-10,2009-10,Antonio McDyess,Antonio McDyess,"-$4,451,873","$3,048,127","$7,500,000",87,O,SAS
Danilo Gallinari 2018-19,2018-19,Danilo Gallinari,Danilo Gallinari,"-$4,454,863","$17,132,716","$21,587,579",74,O,LAC
David Robinson 2000-01,2000-01,David Robinson,David Robinson,"-$4,457,969","$10,242,031","$14,700,000",93,O,SAS
Aron Baynes 2020-21,2020-21,Aron Baynes,Aron Baynes,"-$4,467,223","$2,532,777","$7,000,000",53,O,TOR
Latrell Sprewell 2002-03,2002-03,Latrell Sprewell,Latrell Sprewell,"-$4,467,927","$7,907,073","$12,375,000",74,O,NYK
Jarrett Culver 2020-21,2020-21,Jarrett Culver,Jarrett Culver,"-$4,471,943","$1,632,337","$6,104,280",34,O,MIN
Tiago Splitter 2013-14,2013-14,Tiago Splitter,Tiago Splitter,"-$4,472,817","$5,527,183","$10,000,000",82,O,SAS
Ron Baker 2018-19,2018-19,Ron Baker,Ron Baker,"-$4,474,454","$223,369","$4,697,823",15,O,"NYK, WAS"
Alec Burks 2015-16,2015-16,Alec Burks,Alec Burks,"-$4,476,685","$4,736,799","$9,213,484",31,O,UTA
Drew Gooden 2013-14,2013-14,Drew Gooden,Drew Gooden,"-$4,478,391","$2,613,228","$7,091,619",32,O,WAS
Vitaly Potapenko 2002-03,2002-03,Vitaly Potapenko,Vitaly Potapenko,"-$4,487,046","$751,704","$5,238,750",26,O,OKC
Rasho Nesterovic 2007-08,2007-08,Rasho Nesterovic,Radoslav Nesterovic,"-$4,489,686","$3,350,314","$7,840,000",76,O,TOR
Derrick Coleman 2004-05,2004-05,Derrick Coleman,Derrick Coleman,"-$4,490,939","$9,061","$4,500,000",5,O,DET
Derrick Coleman 1995-96,1995-96,Derrick Coleman,Derrick Coleman,"-$4,491,674","$984,326","$5,476,000",11,O,PHI
Adonal Foyle 2004-05,2004-05,Adonal Foyle,Adonal Foyle,"-$4,496,069","$2,003,931","$6,500,000",78,O,GSW
Tariq Abdul-Wahad 2002-03,2002-03,Tariq Abdul-Wahad,Tariq Abdul-Wahad,"-$4,496,417","$1,128,583","$5,625,000",22,O,DAL
Corliss Williamson 2006-07,2006-07,Corliss Williamson,Corliss Williamson,"-$4,497,606","$2,002,394","$6,500,000",68,O,SAC
Shawn Bradley 2005-06,2005-06,Shawn Bradley,,"-$4,500,000",$0,"$4,500,000",0,O,
Kelvin Cato 2002-03,2002-03,Kelvin Cato,Kelvin Cato,"-$4,503,404","$2,192,596","$6,696,000",73,O,HOU
Landry Fields 2013-14,2013-14,Landry Fields,Landry Fields,"-$4,504,589","$720,411","$5,225,000",33,O,TOR
Rodney Stuckey 2016-17,2016-17,Rodney Stuckey,Rodney Stuckey,"-$4,506,958","$2,493,042","$7,000,000",39,O,IND
Al Jefferson 2009-10,2009-10,Al Jefferson,Al Jefferson,"-$4,509,493","$7,490,507","$12,000,000",76,O,MIN
Raef LaFrentz 2004-05,2004-05,Raef LaFrentz,Raef LaFrentz,"-$4,509,863","$5,204,675","$9,714,538",87,O,BOS
Jason Smith 2018-19,2018-19,Jason Smith,Jason Smith,"-$4,511,951","$938,049","$5,450,000",20,O,"MIL, NOP, WAS"
LeBron James 2018-19,2018-19,LeBron James,LeBron James,"-$4,513,740","$31,140,410","$35,654,150",55,O,LAL
Austin Croshere 2001-02,2001-02,Austin Croshere,Austin Croshere,"-$4,514,924","$1,795,076","$6,310,000",80,O,IND
Carl Landry 2014-15,2014-15,Carl Landry,Carl Landry,"-$4,515,115","$2,234,885","$6,750,000",70,O,SAC
Alvin Williams 2007-08,2007-08,Alvin Williams,,"-$4,516,484",$0,"$4,516,484",0,O,
Derrick Favors 2020-21,2020-21,Derrick Favors,Derrick Favors,"-$4,517,537","$4,740,463","$9,258,000",79,O,UTA
Nazr Mohammed 2010-11,2010-11,Nazr Mohammed,Nazr Mohammed,"-$4,519,972","$2,363,828","$6,883,800",89,O,"CHA, OKC"
Jonas Valanciunas 2017-18,2017-18,Jonas Valanciunas,Jonas Valanciunas,"-$4,522,917","$10,937,758","$15,460,675",87,O,TOR
Nicolas Batum 2014-15,2014-15,Nicolas Batum,Nicolas Batum,"-$4,526,497","$6,864,003","$11,390,500",76,O,POR
Michael Dickerson 2002-03,2002-03,Michael Dickerson,Michael Dickerson,"-$4,528,590","$971,410","$5,500,000",6,O,MEM
Rasho Nesterovic 2006-07,2006-07,Rasho Nesterovic,Radoslav Nesterovic,"-$4,532,459","$2,747,541","$7,280,000",85,O,TOR
Mike Bibby 2008-09,2008-09,Mike Bibby,Mike Bibby,"-$4,532,576","$10,451,027","$14,983,603",90,O,ATL
Tayshaun Prince 2014-15,2014-15,Tayshaun Prince,Tayshaun Prince,"-$4,538,994","$3,168,871","$7,707,865",58,O,"BOS, DET, MEM"
Donovan Mitchell 2021-22,2021-22,Donovan Mitchell,Donovan Mitchell,"-$4,541,827","$23,561,673","$28,103,500",73,O,UTA
Christian Laettner 2004-05,2004-05,Christian Laettner,Christian Laettner,"-$4,548,626","$2,051,374","$6,600,000",62,O,MIA
John Williams 1997-98,1997-98,John Williams,,"-$4,550,000",$0,"$4,550,000",0,O,
Dario Saric 2020-21,2020-21,Dario Saric,Dario Saric,"-$4,550,082","$4,699,918","$9,250,000",64,O,PHX
Erick Dampier 2001-02,2001-02,Erick Dampier,Erick Dampier,"-$4,551,251","$1,683,749","$6,235,000",73,O,GSW
Brandon Knight 2015-16,2015-16,Brandon Knight,Brandon Knight,"-$4,552,955","$8,947,045","$13,500,000",52,O,PHX
Antonio Daniels 2008-09,2008-09,Antonio Daniels,Antonio Daniels,"-$4,554,353","$1,645,647","$6,200,000",79,O,"NOP, WAS"
Jason Smith 2017-18,2017-18,Jason Smith,Jason Smith,"-$4,557,828","$667,172","$5,225,000",34,O,WAS
Andres Nocioni 2007-08,2007-08,Andres Nocioni,Andres Nocioni,"-$4,559,262","$3,940,738","$8,500,000",82,O,CHI
Quentin Richardson 2009-10,2009-10,Quentin Richardson,Quentin Richardson,"-$4,559,524","$4,792,876","$9,352,400",81,O,MIA
Will Barton 2020-21,2020-21,Will Barton,Will Barton,"-$4,560,309","$9,162,905","$13,723,214",59,O,DEN
Bradley Beal 2018-19,2018-19,Bradley Beal,Bradley Beal,"-$4,563,839","$20,870,423","$25,434,262",82,O,WAS
John Henson 2017-18,2017-18,John Henson,John Henson,"-$4,564,223","$6,858,313","$11,422,536",78,O,MIL
John Salmons 2012-13,2012-13,John Salmons,John Salmons,"-$4,564,457","$3,515,543","$8,080,000",76,O,SAC
Aaron McKie 2004-05,2004-05,Aaron McKie,Aaron McKie,"-$4,566,868","$933,132","$5,500,000",73,O,PHI
E'Twaun Moore 2016-17,2016-17,E'Twaun Moore,E'Twaun Moore,"-$4,576,641","$4,224,722","$8,801,363",73,O,NOP
Francisco Garcia 2011-12,2011-12,Francisco Garcia,Francisco Garcia,"-$4,581,737","$1,218,263","$5,800,000",49,O,SAC
Scot Pollard 2004-05,2004-05,Scot Pollard,Scot Pollard,"-$4,582,146","$1,210,104","$5,792,250",58,O,IND
Josh Childress 2011-12,2011-12,Josh Childress,Josh Childress,"-$4,583,542","$1,416,458","$6,000,000",34,O,PHX
Matt Carroll 2008-09,2008-09,Matt Carroll,Matt Carroll,"-$4,584,117","$465,883","$5,050,000",59,O,"CHA, DAL"
Joel Przybilla 2006-07,2006-07,Joel Przybilla,Joel Przybilla,"-$4,586,136","$628,864","$5,215,000",43,O,POR
Kwame Brown 2006-07,2006-07,Kwame Brown,Kwame Brown,"-$4,586,694","$3,700,806","$8,287,500",46,O,LAL
Tyson Chandler 2010-11,2010-11,Tyson Chandler,Tyson Chandler,"-$4,588,235","$8,011,765","$12,600,000",95,O,DAL
Jameer Nelson 2017-18,2017-18,Jameer Nelson,Jameer Nelson,"-$4,591,838","$2,407,082","$6,998,920",50,O,"DET, NOP"
Hasheem Thabeet 2010-11,2010-11,Hasheem Thabeet,Hasheem Thabeet,"-$4,593,523","$199,757","$4,793,280",47,O,"HOU, MEM"
Kendall Gill 2000-01,2000-01,Kendall Gill,Kendall Gill,"-$4,595,884","$2,404,116","$7,000,000",31,O,BKN
Linas Kleiza 2013-14,2013-14,Linas Kleiza,,"-$4,600,000",$0,"$4,600,000",0,O,
Wesley Johnson 2016-17,2016-17,Wesley Johnson,Wesley Johnson,"-$4,604,391","$1,023,609","$5,628,000",71,O,LAC
Tony Parker 2014-15,2014-15,Tony Parker,Tony Parker,"-$4,604,548","$7,895,452","$12,500,000",75,O,SAS
Shandon Anderson 2001-02,2001-02,Shandon Anderson,Shandon Anderson,"-$4,606,958","$893,042","$5,500,000",82,O,NYK
Chris Kaman 2015-16,2015-16,Chris Kaman,Chris Kaman,"-$4,614,941","$385,059","$5,000,000",20,O,POR
Garrett Temple 2017-18,2017-18,Garrett Temple,Garrett Temple,"-$4,616,947","$3,383,053","$8,000,000",65,O,SAC
Kelvin Cato 2004-05,2004-05,Kelvin Cato,Kelvin Cato,"-$4,621,972","$3,370,028","$7,992,000",62,O,ORL
Jaylen Brown 2020-21,2020-21,Jaylen Brown,Jaylen Brown,"-$4,623,264","$20,411,854","$25,035,118",58,O,BOS
Ike Austin 2000-01,2000-01,Ike Austin,Isaac Austin,"-$4,625,544","$874,456","$5,500,000",52,O,MEM
Andres Nocioni 2008-09,2008-09,Andres Nocioni,Andres Nocioni,"-$4,625,637","$3,374,363","$8,000,000",76,O,"CHI, SAC"
Joel Embiid 2015-16,2015-16,Joel Embiid,,"-$4,626,960",$0,"$4,626,960",0,O,
Jordan Clarkson 2018-19,2018-19,Jordan Clarkson,Jordan Clarkson,"-$4,628,565","$7,871,435","$12,500,000",81,O,CLE
Travis Outlaw 2010-11,2010-11,Travis Outlaw,Travis Outlaw,"-$4,630,954","$2,369,046","$7,000,000",82,O,BKN
DeSagana Diop 2008-09,2008-09,DeSagana Diop,DeSagana Diop,"-$4,631,796","$953,204","$5,585,000",75,O,"CHA, DAL"
Mike Miller 2013-14,2013-14,Mike Miller,Mike Miller,"-$4,632,134","$2,967,373","$7,599,507",89,O,MEM
Kendrick Perkins 2011-12,2011-12,Kendrick Perkins,Kendrick Perkins,"-$4,634,274","$2,489,352","$7,123,626",85,O,OKC
Hasheem Thabeet 2011-12,2011-12,Hasheem Thabeet,Hasheem Thabeet,"-$4,634,974","$492,746","$5,127,720",20,O,"HOU, POR"
Bobby Phills 2000-01,2000-01,Bobby Phills,,"-$4,640,000",$0,"$4,640,000",0,O,
Eddie Robinson 2003-04,2003-04,Eddie Robinson,Eddie Robinson,"-$4,643,165","$1,560,835","$6,204,000",51,O,CHI
Matt Harpring 2008-09,2008-09,Matt Harpring,Matt Harpring,"-$4,653,286","$1,346,714","$6,000,000",68,O,UTA
Arron Afflalo 2017-18,2017-18,Arron Afflalo,Arron Afflalo,"-$4,655,234","$673,418","$5,328,652",53,O,ORL
Greg Oden 2007-08,2007-08,Greg Oden,,"-$4,662,000",$0,"$4,662,000",0,O,
Vin Baker 1999-00,1999-00,Vin Baker,Vin Baker,"-$4,663,984","$4,336,016","$9,000,000",84,O,OKC
Derrick McKey 2000-01,2000-01,Derrick McKey,Derrick McKey,"-$4,664,196","$735,804","$5,400,000",70,O,IND
